Name	Capital	Population	Flag	Last Modified
Afghanistan	Kabul	32738	data\flag.jpg	17.10.2020 12:00:00
Albania	Tirana	3620	data\flag.jpg	17.10.2020 12:00:00
Algeria	Algiers	33770	data\flag.jpg	17.10.2020 12:00:00
American Samoa	Pago Pago	575	data\flag.jpg	17.10.2020 12:00:00
Andorra	Andorra la Vella	724	data\flag.jpg	17.10.2020 12:00:00
Angola	Luanda	12531	data\flag.jpg	17.10.2020 12:00:00
Anguilla	The Valley	141	data\flag.jpg	17.10.2020 12:00:00
Antigua & Barbuda	Saint John's	698	data\flag.jpg	17.10.2020 12:00:00
Argentina	Buenos Aires	40677	data\flag.jpg	17.10.2020 12:00:00
Armenia	Yerevan	2969	data\flag.jpg	17.10.2020 12:00:00
Aruba	Oranjestad	1015	data\flag.jpg	17.10.2020 12:00:00
Australia	Canberra	20601	data\flag.jpg	17.10.2020 12:00:00
Austria	Vienna	8206	data\flag.jpg	17.10.2020 12:00:00
Azerbaijan	Baku	8178	data\flag.jpg	17.10.2020 12:00:00
Bahamas	Nassau	3075	data\flag.jpg	17.10.2020 12:00:00
Bahrain	Manama	7183	data\flag.jpg	17.10.2020 12:00:00
Bangladesh	Dhaka	153547	data\flag.jpg	17.10.2020 12:00:00
Barbados	Bridgetown	282	data\flag.jpg	17.10.2020 12:00:00
Belarus	Minsk	9686	data\flag.jpg	17.10.2020 12:00:00
Belgium	Brussels	10404	data\flag.jpg	17.10.2020 12:00:00
Belize	Belmopan	3013	data\flag.jpg	17.10.2020 12:00:00
Benin	Porto-Novo	8295	data\flag.jpg	17.10.2020 12:00:00
Bermuda	Hamilton	665	data\flag.jpg	17.10.2020 12:00:00
Bhutan	Thimphu	6823	data\flag.jpg	17.10.2020 12:00:00
Bolivia	Sucre	9248	data\flag.jpg	17.10.2020 12:00:00
Bosnia & Herzegovina	Sarajevo	4590	data\flag.jpg	17.10.2020 12:00:00
Botswana	Gaborone	1842	data\flag.jpg	17.10.2020 12:00:00
Brazil	Brasilia	191909	data\flag.jpg	17.10.2020 12:00:00
British Virgin Islands	Road Town	24	data\flag.jpg	17.10.2020 12:00:00
Brunei	Bandar Seri Begawan	3814	data\flag.jpg	17.10.2020 12:00:00
Bulgaria	Sofia	7263	data\flag.jpg	17.10.2020 12:00:00
Burkina Faso	Ouagadougou	15265	data\flag.jpg	17.10.2020 12:00:00
Burma (Myanmar	Rangoon	47758	data\flag.jpg	17.10.2020 12:00:00
Burundi	Bujumbura	8691	data\flag.jpg	17.10.2020 12:00:00
Cambodia	Phnom Penh	14242	data\flag.jpg	17.10.2020 12:00:00
Cameroon	Yaounde	18468	data\flag.jpg	17.10.2020 12:00:00
Canada	Ottawa	33213	data\flag.jpg	17.10.2020 12:00:00
Cape Verde	Praia	427	data\flag.jpg	17.10.2020 12:00:00
Cayman Islands	George Town	479	data\flag.jpg	17.10.2020 12:00:00
Central African Republic	Bangui	4435	data\flag.jpg	17.10.2020 12:00:00
Chad	N'Djamena	10111	data\flag.jpg	17.10.2020 12:00:00
Chile	Santiago	16454	data\flag.jpg	17.10.2020 12:00:00
China	Beijing	1330045	data\flag.jpg	17.10.2020 12:00:00
Christmas Island	The Settlement	14	data\flag.jpg	17.10.2020 12:00:00
Cocos Islands	West Island	600	data\flag.jpg	17.10.2020 12:00:00
Colombia	Bogota	45014	data\flag.jpg	17.10.2020 12:00:00
Comoros	Moroni	7318	data\flag.jpg	17.10.2020 12:00:00
Congo (Dem. Rep.)	Kinshasa	66515	data\flag.jpg	17.10.2020 12:00:00
Congo (Republic)	Brazzaville	3903	data\flag.jpg	17.10.2020 12:00:00
Cook Islands	Avarua	219	data\flag.jpg	17.10.2020 12:00:00
Costa Rica	San Jose	4196	data\flag.jpg	17.10.2020 12:00:00
Cote d'Ivoire	Yamoussoukro	18373	data\flag.jpg	17.10.2020 12:00:00
Croatia	Zagreb	4492	data\flag.jpg	17.10.2020 12:00:00
Cuba	Havana	11424	data\flag.jpg	17.10.2020 12:00:00
Cyprus	Nicosia	7926	data\flag.jpg	17.10.2020 12:00:00
Czech Republic	Prague	10221	data\flag.jpg	17.10.2020 12:00:00
Denmark	Copenhagen	5485	data\flag.jpg	17.10.2020 12:00:00
Djibouti	Djibouti	5062	data\flag.jpg	17.10.2020 12:00:00
Dominica	Roseau	725	data\flag.jpg	17.10.2020 12:00:00
Dominican Republic	Santo Domingo	9507	data\flag.jpg	17.10.2020 12:00:00
East Timor	Dili	1109	data\flag.jpg	17.10.2020 12:00:00
Ecuador	Quito	13928	data\flag.jpg	17.10.2020 12:00:00
Egypt	Cairo	81714	data\flag.jpg	17.10.2020 12:00:00
El Salvador	San Salvador	7066	data\flag.jpg	17.10.2020 12:00:00
Equatorial Guinea	Malabo	6165	data\flag.jpg	17.10.2020 12:00:00
Eritrea	Asmara	5028	data\flag.jpg	17.10.2020 12:00:00
Estonia	Tallinn	1308	data\flag.jpg	17.10.2020 12:00:00
Ethiopia	Addis Ababa	78254	data\flag.jpg	17.10.2020 12:00:00
Falkland Islands (Islas Malvinas)	Stanley	314	data\flag.jpg	17.10.2020 12:00:00
Faroe Islands	Torshavn	487	data\flag.jpg	17.10.2020 12:00:00
Fiji	Suva	9317	data\flag.jpg	17.10.2020 12:00:00
Finland	Helsinki	5245	data\flag.jpg	17.10.2020 12:00:00
France	Paris	62100	data\flag.jpg	17.10.2020 12:00:00
French Guiana	Cayenne	2196	data\flag.jpg	17.10.2020 12:00:00
French Polynesia	Papeete	283	data\flag.jpg	17.10.2020 12:00:00
Gabon	Libreville	1486	data\flag.jpg	17.10.2020 12:00:00
Gambia, The	Banjul	1735	data\flag.jpg	17.10.2020 12:00:00
Georgia	T'bilisi	4631	data\flag.jpg	17.10.2020 12:00:00
Germany	Berlin	82370	data\flag.jpg	17.10.2020 12:00:00
Ghana	Accra	23383	data\flag.jpg	17.10.2020 12:00:00
Gibraltar	Gibraltar	28	data\flag.jpg	17.10.2020 12:00:00
Great Britain & Northern Ireland	London	60944	data\flag.jpg	17.10.2020 12:00:00
Greece	Athens	10723	data\flag.jpg	17.10.2020 12:00:00
Greenland	Nuuk	563	data\flag.jpg	17.10.2020 12:00:00
Grenada	Saint George's	903	data\flag.jpg	17.10.2020 12:00:00
Guadeloupe	Basse-Terre	4571	data\flag.jpg	17.10.2020 12:00:00
Guam	Hagatna	1759	data\flag.jpg	17.10.2020 12:00:00
Guatemala	Guatemala	13002	data\flag.jpg	17.10.2020 12:00:00
Guernsey	Saint Peter Port	657	data\flag.jpg	17.10.2020 12:00:00
Guinea	Conakry	10211	data\flag.jpg	17.10.2020 12:00:00
